Modelo,Accuracy LOSO,MCC LOSO,AUC macro,F1-score macro,Acc Train,Gap (train-test)
LDA,0.6854,0.5888,0.9035,0.6995,0.8244,0.1390
KNN (k=7),0.7980,0.7329,0.9407,0.8014,1.0000,0.2020
